Description,Category
Jio AWS Hosting Rs 5213,Software
Google Broadband Payment Rs 57354,Utilities
Adobe Mobile Recharge Rs 26483,Utilities
Flipkart GST Payment Rs 48996,GST
AWS Office Rent Rs 5541,Rent
Flipkart Office Maintenance Rs 79520,Office Expense
Flipkart CGST Payment Rs 85273,GST
BSNL Zoom Subscription Rs 30524,Software
Ola Commercial Rent Rs 97306,Rent
Jio Taxi Fare Rs 34920,Travel
Adobe Property Rent Rs 17269,Rent
Uber Google Ads Rs 63257,Marketing
Airtel Professional Charges Rs 40523,Professional Fees
Tata IGST Payment Rs 35659,GST
OpenAI Property Rent Rs 25954,Rent
Infosys NEFT Charges Rs 53604,Bank Charges
Flipkart Office Insurance Rs 67837,Insurance
Airtel Accounting Services Rs 31315,Professional Fees
OpenAI Taxi Fare Rs 89159,Travel
Uber TDS Payment Rs 29057,TDS Payment
Uber Laptop Purchase Rs 7734,Office Expense
Uber Stationery Purchase Rs 15934,Office Expense
Reliance Vendor Payment Rs 91337,Vendor Payment
BSNL Office Maintenance Rs 26315,Office Expense
Reliance Hotel Stay Rs 92133,Travel
Amazon Vendor Payment Rs 73372,Vendor Payment
Infosys Payroll Processing Rs 86885,Payroll
Airtel Supplier Payment Rs 58344,Vendor Payment
Infosys Vehicle Insurance Rs 64752,Insurance
Uber CA Fees Rs 97288,Professional Fees
Ola Bank Loan EMI Rs 65350,Loan Payment
Tata NEFT Charges Rs 68799,Bank Charges
Reliance RTGS Charges Rs 77171,Bank Charges
Google Vendor Payment Rs 79295,Vendor Payment
Uber CA Fees Rs 65352,Professional Fees
Flipkart Salary Payment Rs 71446,Payroll
Uber Marketing Campaign Rs 8183,Marketing
AWS Supplier Payment Rs 13000,Vendor Payment
Ola Supplier Payment Rs 38564,Vendor Payment
Jio Raw Material Purchase Rs 92278,Vendor Payment
Tata Vehicle Insurance Rs 49024,Insurance
OpenAI Office Maintenance Rs 77035,Office Expense
Infosys CA Fees Rs 44227,Professional Fees
Airtel Internet Bill Rs 55716,Utilities
Ola Vehicle Loan EMI Rs 66233,Loan Payment
Tata TDS Deposit Rs 54150,TDS Payment
Flipkart Office Rent Rs 79600,Rent
Jio Warehouse Rent Rs 68978,Rent
Amazon Water Bill Rs 38322,Utilities
Adobe Employee Benefits Rs 34402,Payroll
Reliance TDS Challan Rs 31615,TDS Payment
Infosys Hotel Stay Rs 48642,Travel
OpenAI Bonus Payment Rs 82219,Payroll
Tata RTGS Charges Rs 2307,Bank Charges
Amazon Facebook Ads Rs 46927,Marketing
Adobe Staff Salary Rs 65054,Payroll
Uber Vehicle Insurance Rs 12890,Insurance
Amazon TDS Challan Rs 19436,TDS Payment
Infosys Commercial Rent Rs 14638,Rent
AWS GitHub Subscription Rs 55335,Software
BSNL Health Insurance Rs 98662,Insurance
Ola CA Fees Rs 45912,Professional Fees
OpenAI Business Insurance Rs 32031,Insurance
Tata Taxi Fare Rs 97638,Travel
OpenAI Vehicle Insurance Rs 67899,Insurance
Google Bank Service Fee Rs 15203,Bank Charges
Tata Warehouse Rent Rs 62918,Rent
Airtel Raw Material Purchase Rs 27831,Vendor Payment
Airtel GST Payment Rs 67386,GST
Ola RTGS Charges Rs 78673,Bank Charges
Adobe Vehicle Loan EMI Rs 3976,Loan Payment
AWS Health Insurance Rs 52143,Insurance
Infosys TDS Challan Rs 6532,TDS Payment
Flipkart SEO Charges Rs 45317,Marketing
Ola CA Fees Rs 69107,Professional Fees
Google TDS Challan Rs 97008,TDS Payment
Ola Vehicle Insurance Rs 24047,Insurance
Infosys SGST Payment Rs 54830,GST
Jio Bank Loan EMI Rs 52584,Loan Payment
Microsoft Instagram Ads Rs 28455,Marketing
Flipkart Laptop Purchase Rs 96815,Office Expense
Microsoft GST Payment Rs 17706,GST
Jio Hotel Stay Rs 60310,Travel
BSNL SEO Charges Rs 18969,Marketing
Jio AWS Hosting Rs 46468,Software
OpenAI Office Rent Rs 38115,Rent
Tata Warehouse Rent Rs 31891,Rent
Adobe Commercial Rent Rs 61566,Rent
Flipkart AWS Hosting Rs 52554,Software
Google IGST Payment Rs 22202,GST
OpenAI Consulting Charges Rs 92798,Professional Fees
Google IGST Payment Rs 73721,GST
Flipkart ChatGPT Subscription Rs 32267,Software
Airtel Salary Payment Rs 86339,Payroll
Microsoft Employee Benefits Rs 16369,Payroll
Airtel Professional Charges Rs 70706,Professional Fees
Adobe Staff Salary Rs 14266,Payroll
Tata Laptop Purchase Rs 25411,Office Expense
Infosys RTGS Charges Rs 32420,Bank Charges
Google TDS Payment Rs 11723,TDS Payment
Flipkart Instagram Ads Rs 54417,Marketing
AWS GST Payment Rs 55827,GST
Google Vendor Payment Rs 15403,Vendor Payment
Google Mobile Recharge Rs 62243,Utilities
Tata Business Loan EMI Rs 2359,Loan Payment
Amazon Business Loan EMI Rs 71848,Loan Payment
Microsoft Professional Charges Rs 93706,Professional Fees
OpenAI Business Loan EMI Rs 76844,Loan Payment
Infosys TDS Payment Rs 33043,TDS Payment
Reliance Contractor Invoice Rs 16570,Vendor Payment
Amazon Water Bill Rs 32682,Utilities
Flipkart TDS Deposit Rs 85467,TDS Payment
Amazon CA Fees Rs 1721,Professional Fees
BSNL Vehicle Loan EMI Rs 91710,Loan Payment
Google Bank Service Fee Rs 24814,Bank Charges
Google CA Fees Rs 69648,Professional Fees
Amazon TDS Deposit Rs 96983,TDS Payment
Tata Business Loan EMI Rs 7545,Loan Payment
Airtel Electricity Bill Rs 71875,Utilities
Ola CA Fees Rs 16338,Professional Fees
Reliance Property Rent Rs 58957,Rent
AWS Printer Purchase Rs 90069,Office Expense
Ola Flight Ticket Rs 35745,Travel
OpenAI NEFT Charges Rs 45966,Bank Charges
AWS Office Rent Rs 37171,Rent
Ola Bank Service Fee Rs 7142,Bank Charges
Tata Business Insurance Rs 85297,Insurance
Tata Commercial Rent Rs 6348,Rent
Amazon Health Insurance Rs 61544,Insurance
Reliance Vehicle Loan EMI Rs 20404,Loan Payment
Reliance Accounting Services Rs 87652,Professional Fees
BSNL CA Fees Rs 49603,Professional Fees
Adobe Office Rent Rs 21247,Rent
Ola Consulting Charges Rs 39429,Professional Fees
Flipkart Bank Loan EMI Rs 30464,Loan Payment
Infosys Payroll Processing Rs 66328,Payroll
OpenAI GitHub Subscription Rs 15180,Software
OpenAI Office Insurance Rs 45162,Insurance
Uber Business Loan EMI Rs 44541,Loan Payment
Google Internet Bill Rs 78240,Utilities
Amazon Office Furniture Rs 60741,Office Expense
BSNL Water Bill Rs 81125,Utilities
Google Accounting Services Rs 23090,Professional Fees
Infosys Marketing Campaign Rs 85139,Marketing
Infosys Flight Ticket Rs 4796,Travel
Google Marketing Campaign Rs 67440,Marketing
Amazon Salary Payment Rs 3277,Payroll
Amazon Electricity Bill Rs 81399,Utilities
Airtel Mobile Recharge Rs 72984,Utilities
Jio Payroll Processing Rs 86570,Payroll
Amazon NEFT Charges Rs 64764,Bank Charges
Amazon Property Rent Rs 64010,Rent
Ola Mobile Recharge Rs 21797,Utilities
Google Laptop Purchase Rs 90947,Office Expense
Google Business Loan EMI Rs 31841,Loan Payment
Tata Train Ticket Rs 46643,Travel
Tata Mobile Recharge Rs 91764,Utilities
Jio Commercial Rent Rs 71194,Rent
Flipkart Professional Charges Rs 67410,Professional Fees
Infosys Business Insurance Rs 51483,Insurance
Microsoft Google Workspace Rs 69104,Software
BSNL Bank Service Fee Rs 11212,Bank Charges
Uber CGST Payment Rs 41173,GST
Uber Supplier Payment Rs 46649,Vendor Payment
Amazon Mobile Recharge Rs 89660,Utilities
Infosys Office Maintenance Rs 72022,Office Expense
BSNL Vendor Payment Rs 92677,Vendor Payment
Microsoft Supplier Payment Rs 33340,Vendor Payment
BSNL AWS Hosting Rs 53622,Software
Adobe Vehicle Loan EMI Rs 31989,Loan Payment
BSNL ATM Charges Rs 73521,Bank Charges
AWS Printer Purchase Rs 4695,Office Expense
Ola Contractor Invoice Rs 60287,Vendor Payment
Microsoft Warehouse Rent Rs 92228,Rent
Adobe Facebook Ads Rs 28545,Marketing
Adobe Vendor Payment Rs 60374,Vendor Payment
AWS Zoom Subscription Rs 43789,Software
Uber SGST Payment Rs 59940,GST
Adobe AWS Hosting Rs 74175,Software
Reliance SGST Payment Rs 66563,GST
Adobe Internet Bill Rs 52876,Utilities
Airtel Flight Ticket Rs 21439,Travel
Ola Cab Booking Rs 25607,Travel
Google Contractor Invoice Rs 69706,Vendor Payment
Adobe Zoom Subscription Rs 12220,Software
BSNL Health Insurance Rs 22620,Insurance
OpenAI Zoom Subscription Rs 88558,Software
Amazon Consulting Charges Rs 16772,Professional Fees
Airtel Water Bill Rs 91677,Utilities
AWS Professional Charges Rs 11739,Professional Fees
Microsoft Bank Loan EMI Rs 78499,Loan Payment
Adobe Stationery Purchase Rs 18888,Office Expense
Infosys CGST Payment Rs 64520,GST
Infosys Payroll Processing Rs 47834,Payroll
Google Bonus Payment Rs 84650,Payroll
BSNL RTGS Charges Rs 37732,Bank Charges
Uber Warehouse Rent Rs 44433,Rent
Flipkart Supplier Payment Rs 79727,Vendor Payment
Microsoft Warehouse Rent Rs 9095,Rent
OpenAI NEFT Charges Rs 90289,Bank Charges
Uber Professional Charges Rs 95802,Professional Fees
Uber Hotel Stay Rs 91106,Travel
Flipkart Facebook Ads Rs 73312,Marketing
AWS Vehicle Loan EMI Rs 15543,Loan Payment
Tata Business Loan EMI Rs 70420,Loan Payment
Infosys RTGS Charges Rs 754,Bank Charges
Adobe Water Bill Rs 69828,Utilities
OpenAI Zoom Subscription Rs 75342,Software
Google CGST Payment Rs 44976,GST
Google Consulting Charges Rs 44174,Professional Fees
Infosys Stationery Purchase Rs 90547,Office Expense
Jio RTGS Charges Rs 82053,Bank Charges
AWS Internet Bill Rs 40078,Utilities
Airtel Bank Service Fee Rs 51524,Bank Charges
BSNL AWS Hosting Rs 40928,Software
AWS AWS Hosting Rs 31684,Software
Airtel Office Insurance Rs 85246,Insurance
Ola Bank Service Fee Rs 65630,Bank Charges
Amazon Contractor Invoice Rs 43477,Vendor Payment
Amazon Health Insurance Rs 67642,Insurance
BSNL SEO Charges Rs 75828,Marketing
Jio RTGS Charges Rs 89078,Bank Charges
BSNL Water Bill Rs 88016,Utilities
Amazon Broadband Payment Rs 57057,Utilities
Tata Consulting Charges Rs 13980,Professional Fees
Flipkart Bonus Payment Rs 78517,Payroll
Adobe GitHub Subscription Rs 22262,Software
Uber ChatGPT Subscription Rs 52787,Software
Infosys Printer Purchase Rs 56808,Office Expense
Microsoft SEO Charges Rs 25695,Marketing
Adobe Printer Purchase Rs 32981,Office Expense
Ola Google Ads Rs 51834,Marketing
AWS Health Insurance Rs 27152,Insurance
Flipkart CA Fees Rs 98850,Professional Fees
OpenAI TDS Payment Rs 39537,TDS Payment
Microsoft Supplier Payment Rs 77795,Vendor Payment
Uber Office Rent Rs 26429,Rent
AWS Hotel Stay Rs 70401,Travel
OpenAI Train Ticket Rs 77354,Travel
Tata IGST Payment Rs 48619,GST
BSNL SEO Charges Rs 20069,Marketing
OpenAI Property Rent Rs 62256,Rent
Airtel Taxi Fare Rs 9190,Travel
Jio Accounting Services Rs 51869,Professional Fees
Reliance Google Workspace Rs 40137,Software
Ola CA Fees Rs 12831,Professional Fees
Airtel SGST Payment Rs 98737,GST
Reliance IGST Payment Rs 37144,GST
Google TDS Payment Rs 62342,TDS Payment
BSNL NEFT Charges Rs 8834,Bank Charges
Jio Vehicle Insurance Rs 31661,Insurance
OpenAI SEO Charges Rs 27985,Marketing
BSNL GitHub Subscription Rs 91034,Software
Amazon GST Payment Rs 49302,GST
Reliance CGST Payment Rs 42144,GST
Ola Vendor Payment Rs 72243,Vendor Payment
BSNL Salary Payment Rs 35022,Payroll
OpenAI Business Loan EMI Rs 83557,Loan Payment
Infosys Marketing Campaign Rs 51986,Marketing
Infosys Commercial Rent Rs 95882,Rent
Infosys TDS Deposit Rs 26264,TDS Payment
Google AWS Hosting Rs 92842,Software
Reliance RTGS Charges Rs 50636,Bank Charges
Infosys Bank Loan EMI Rs 47688,Loan Payment
Amazon SEO Charges Rs 62316,Marketing
Reliance Business Loan EMI Rs 80012,Loan Payment
OpenAI Internet Bill Rs 35483,Utilities
Ola ChatGPT Subscription Rs 83334,Software
Reliance Electricity Bill Rs 48235,Utilities
Flipkart Office Insurance Rs 49113,Insurance
Google Facebook Ads Rs 52614,Marketing
Tata Vehicle Loan EMI Rs 32653,Loan Payment
Uber GST Payment Rs 51718,GST
Reliance Bank Loan EMI Rs 33905,Loan Payment
Microsoft Broadband Payment Rs 33313,Utilities
Flipkart Accounting Services Rs 88809,Professional Fees
Airtel Bank Loan EMI Rs 8907,Loan Payment
Microsoft Contractor Invoice Rs 33690,Vendor Payment
Airtel Vendor Payment Rs 26231,Vendor Payment
OpenAI Office Rent Rs 8933,Rent
OpenAI RTGS Charges Rs 54557,Bank Charges
Airtel Google Workspace Rs 53558,Software
Amazon Property Rent Rs 67330,Rent
BSNL Supplier Payment Rs 75216,Vendor Payment
Amazon Business Insurance Rs 24099,Insurance
Jio Health Insurance Rs 55814,Insurance
BSNL Facebook Ads Rs 70702,Marketing
BSNL Raw Material Purchase Rs 661,Vendor Payment
OpenAI Commercial Rent Rs 88448,Rent
BSNL TDS Challan Rs 50109,TDS Payment
Jio Business Insurance Rs 66257,Insurance
OpenAI Commercial Rent Rs 98999,Rent
Google IGST Payment Rs 21675,GST
Uber GitHub Subscription Rs 68582,Software
Infosys Vehicle Loan EMI Rs 58795,Loan Payment
Infosys TDS Payment Rs 21500,TDS Payment
Tata Printer Purchase Rs 36604,Office Expense
Ola Office Maintenance Rs 4310,Office Expense
BSNL Property Rent Rs 97789,Rent
Flipkart Flight Ticket Rs 52655,Travel
BSNL Mobile Recharge Rs 37541,Utilities
Adobe Property Rent Rs 28280,Rent
Reliance CGST Payment Rs 76690,GST
Infosys TDS Payment Rs 6613,TDS Payment
Adobe Bonus Payment Rs 78258,Payroll
OpenAI Cab Booking Rs 39527,Travel
Adobe Supplier Payment Rs 839,Vendor Payment
Amazon Business Loan EMI Rs 64684,Loan Payment
Flipkart Employee Benefits Rs 15725,Payroll
BSNL Taxi Fare Rs 44618,Travel
Adobe RTGS Charges Rs 38843,Bank Charges
Ola CGST Payment Rs 79323,GST
BSNL Property Rent Rs 70034,Rent
BSNL Employee Benefits Rs 57680,Payroll
AWS Taxi Fare Rs 24498,Travel
Adobe Zoom Subscription Rs 25335,Software
Jio GST Payment Rs 68711,GST
Infosys Google Workspace Rs 60261,Software
Flipkart Broadband Payment Rs 43844,Utilities
Ola Property Rent Rs 60534,Rent
Reliance Office Furniture Rs 27153,Office Expense
Google Business Insurance Rs 21704,Insurance
Infosys Laptop Purchase Rs 7656,Office Expense
Adobe Business Loan EMI Rs 16460,Loan Payment
Infosys CGST Payment Rs 91374,GST
Microsoft Broadband Payment Rs 6809,Utilities
Ola CA Fees Rs 62498,Professional Fees
Amazon Flight Ticket Rs 89618,Travel
Airtel Accounting Services Rs 68911,Professional Fees
Adobe Taxi Fare Rs 50307,Travel
Jio Raw Material Purchase Rs 8615,Vendor Payment
AWS CA Fees Rs 31307,Professional Fees
Airtel TDS Deposit Rs 52753,TDS Payment
Reliance Printer Purchase Rs 78906,Office Expense
Reliance Laptop Purchase Rs 26384,Office Expense
Amazon GST Payment Rs 18674,GST
Amazon Consulting Charges Rs 86389,Professional Fees
Google Internet Bill Rs 55979,Utilities
BSNL Bank Service Fee Rs 25144,Bank Charges
Reliance CGST Payment Rs 69765,GST
Adobe TDS Payment Rs 50542,TDS Payment
Flipkart Marketing Campaign Rs 66279,Marketing
OpenAI SEO Charges Rs 29202,Marketing
Flipkart IGST Payment Rs 70924,GST
Adobe GitHub Subscription Rs 99764,Software
Google Office Furniture Rs 8356,Office Expense
Jio Office Rent Rs 18091,Rent
Jio Consulting Charges Rs 55040,Professional Fees
Google Supplier Payment Rs 62467,Vendor Payment
Amazon Train Ticket Rs 9561,Travel
Ola Commercial Rent Rs 26580,Rent
Adobe Vendor Payment Rs 16036,Vendor Payment
BSNL Payroll Processing Rs 9095,Payroll
AWS Vendor Payment Rs 51308,Vendor Payment
AWS Instagram Ads Rs 30808,Marketing
Ola TDS Deposit Rs 50496,TDS Payment
Flipkart Payroll Processing Rs 25429,Payroll
Flipkart Flight Ticket Rs 37253,Travel
OpenAI Office Maintenance Rs 97926,Office Expense
AWS GST Payment Rs 68879,GST
Amazon Bank Loan EMI Rs 3743,Loan Payment
Ola Flight Ticket Rs 20742,Travel
AWS Office Insurance Rs 58433,Insurance
Microsoft Staff Salary Rs 28433,Payroll
Adobe Internet Bill Rs 37180,Utilities
AWS Vehicle Insurance Rs 74597,Insurance
OpenAI Cab Booking Rs 14456,Travel
Uber Supplier Payment Rs 8645,Vendor Payment
Jio ATM Charges Rs 56507,Bank Charges
AWS Taxi Fare Rs 82583,Travel
Adobe Office Insurance Rs 6236,Insurance
Google Google Ads Rs 33830,Marketing
Reliance Business Loan EMI Rs 35640,Loan Payment
BSNL Professional Charges Rs 73631,Professional Fees
Adobe Electricity Bill Rs 80762,Utilities
Microsoft Bank Loan EMI Rs 94431,Loan Payment
Microsoft TDS Deposit Rs 26629,TDS Payment
Reliance Supplier Payment Rs 19029,Vendor Payment
Airtel IGST Payment Rs 61144,GST
AWS Office Rent Rs 29080,Rent
Flipkart Consulting Charges Rs 3294,Professional Fees
Infosys Hotel Stay Rs 89599,Travel
Flipkart Salary Payment Rs 41691,Payroll
Microsoft Flight Ticket Rs 42530,Travel
Microsoft Google Workspace Rs 43419,Software
Flipkart TDS Deposit Rs 32384,TDS Payment
Microsoft Stationery Purchase Rs 17113,Office Expense
Infosys GST Payment Rs 61718,GST
AWS Internet Bill Rs 76759,Utilities
OpenAI Business Loan EMI Rs 7104,Loan Payment
Ola Supplier Payment Rs 10354,Vendor Payment
AWS RTGS Charges Rs 24639,Bank Charges
Microsoft Office Furniture Rs 31312,Office Expense
Jio IGST Payment Rs 77303,GST
Adobe ChatGPT Subscription Rs 51736,Software
Amazon Water Bill Rs 70501,Utilities
Adobe Flight Ticket Rs 69718,Travel
AWS Mobile Recharge Rs 95013,Utilities
Adobe Vehicle Loan EMI Rs 81725,Loan Payment
Amazon CA Fees Rs 21691,Professional Fees
Google TDS Challan Rs 52700,TDS Payment
Flipkart Vendor Payment Rs 14994,Vendor Payment
Tata Staff Salary Rs 77093,Payroll
Jio Flight Ticket Rs 44879,Travel
Tata Payroll Processing Rs 65957,Payroll
Tata RTGS Charges Rs 7160,Bank Charges
Tata GST Payment Rs 54745,GST
BSNL Vendor Payment Rs 78508,Vendor Payment
OpenAI Zoom Subscription Rs 37590,Software
Flipkart Health Insurance Rs 24738,Insurance
Microsoft Office Furniture Rs 7168,Office Expense
OpenAI Stationery Purchase Rs 42799,Office Expense
Google Property Rent Rs 64017,Rent
Flipkart Consulting Charges Rs 17511,Professional Fees
Google Office Insurance Rs 76037,Insurance
Amazon CGST Payment Rs 58772,GST
Uber Vendor Payment Rs 8880,Vendor Payment
AWS Business Loan EMI Rs 19460,Loan Payment
Reliance Marketing Campaign Rs 92401,Marketing
Tata Vehicle Insurance Rs 15937,Insurance
Adobe Taxi Fare Rs 48923,Travel
Tata Business Insurance Rs 99012,Insurance
Amazon Accounting Services Rs 12779,Professional Fees
BSNL Raw Material Purchase Rs 81361,Vendor Payment
OpenAI Office Maintenance Rs 10995,Office Expense
Uber Electricity Bill Rs 56356,Utilities
Tata Payroll Processing Rs 39715,Payroll
Microsoft Hotel Stay Rs 36937,Travel
Airtel Bank Loan EMI Rs 868,Loan Payment
Flipkart Instagram Ads Rs 84223,Marketing
AWS Train Ticket Rs 78467,Travel
Microsoft TDS Deposit Rs 63643,TDS Payment
Google Printer Purchase Rs 10138,Office Expense
Amazon Property Rent Rs 4838,Rent
Infosys Health Insurance Rs 61269,Insurance
BSNL Internet Bill Rs 9247,Utilities
AWS Staff Salary Rs 91538,Payroll
Microsoft Business Insurance Rs 88024,Insurance
Infosys TDS Deposit Rs 43755,TDS Payment
Ola Contractor Invoice Rs 69804,Vendor Payment
Amazon SGST Payment Rs 52311,GST
Airtel NEFT Charges Rs 87677,Bank Charges
Flipkart Broadband Payment Rs 25902,Utilities
Ola ChatGPT Subscription Rs 56344,Software
AWS Health Insurance Rs 80208,Insurance
Google TDS Deposit Rs 69282,TDS Payment
BSNL Vehicle Insurance Rs 63489,Insurance
Ola Internet Bill Rs 66343,Utilities
Reliance Employee Benefits Rs 83499,Payroll
Google CGST Payment Rs 90211,GST
Microsoft GitHub Subscription Rs 9711,Software
Infosys Commercial Rent Rs 39552,Rent
Reliance Staff Salary Rs 64138,Payroll
Ola Train Ticket Rs 61309,Travel
Infosys Electricity Bill Rs 41537,Utilities
Reliance Office Rent Rs 53940,Rent
Google Business Loan EMI Rs 2651,Loan Payment
OpenAI CA Fees Rs 67006,Professional Fees
Microsoft Professional Charges Rs 14340,Professional Fees
Ola NEFT Charges Rs 71380,Bank Charges
Reliance GST Payment Rs 54416,GST
Google Bonus Payment Rs 1859,Payroll
Reliance Taxi Fare Rs 56671,Travel
Jio Taxi Fare Rs 47005,Travel
AWS Office Furniture Rs 55446,Office Expense
Reliance Taxi Fare Rs 78436,Travel
OpenAI RTGS Charges Rs 86610,Bank Charges
Uber NEFT Charges Rs 42902,Bank Charges
Infosys Bank Service Fee Rs 46174,Bank Charges
Google Electricity Bill Rs 75779,Utilities
Tata Raw Material Purchase Rs 84757,Vendor Payment
OpenAI Hotel Stay Rs 67680,Travel
AWS Office Furniture Rs 85002,Office Expense
Jio Business Loan EMI Rs 90338,Loan Payment
Jio Hotel Stay Rs 80301,Travel
AWS Bank Loan EMI Rs 31801,Loan Payment
Uber Broadband Payment Rs 84717,Utilities
Microsoft Stationery Purchase Rs 67420,Office Expense
Jio Water Bill Rs 55215,Utilities
Flipkart Business Insurance Rs 18119,Insurance
Adobe Consulting Charges Rs 64043,Professional Fees
BSNL Health Insurance Rs 89522,Insurance
Microsoft Office Furniture Rs 32181,Office Expense
Uber Health Insurance Rs 28322,Insurance
OpenAI TDS Challan Rs 58195,TDS Payment
Tata NEFT Charges Rs 74021,Bank Charges
Infosys Raw Material Purchase Rs 36689,Vendor Payment
Reliance Professional Charges Rs 5855,Professional Fees
Flipkart Salary Payment Rs 29936,Payroll
Reliance Instagram Ads Rs 26673,Marketing
Adobe Property Rent Rs 67051,Rent
Adobe Instagram Ads Rs 35833,Marketing
Ola Business Loan EMI Rs 47999,Loan Payment
Uber Vehicle Loan EMI Rs 27769,Loan Payment
Tata Taxi Fare Rs 14208,Travel
Infosys Vehicle Loan EMI Rs 73169,Loan Payment
Tata RTGS Charges Rs 29756,Bank Charges
OpenAI TDS Challan Rs 55641,TDS Payment
Tata Train Ticket Rs 89833,Travel
Microsoft Zoom Subscription Rs 66787,Software
Jio Business Insurance Rs 40929,Insurance
Amazon Laptop Purchase Rs 94704,Office Expense
Adobe CGST Payment Rs 27843,GST
Flipkart Train Ticket Rs 72468,Travel
BSNL Office Rent Rs 32435,Rent
OpenAI Employee Benefits Rs 46624,Payroll
Microsoft Vehicle Loan EMI Rs 60036,Loan Payment
Infosys NEFT Charges Rs 83615,Bank Charges
BSNL Business Insurance Rs 53141,Insurance
Adobe Office Rent Rs 81553,Rent
AWS ATM Charges Rs 20468,Bank Charges
Amazon SEO Charges Rs 57909,Marketing
BSNL Taxi Fare Rs 2680,Travel
Airtel Business Loan EMI Rs 36077,Loan Payment
Jio TDS Challan Rs 51068,TDS Payment
Infosys Supplier Payment Rs 2538,Vendor Payment
Microsoft Instagram Ads Rs 66882,Marketing
Infosys Google Ads Rs 48470,Marketing
Google CGST Payment Rs 35526,GST
Reliance GST Payment Rs 31455,GST
BSNL Instagram Ads Rs 13126,Marketing
BSNL Mobile Recharge Rs 36967,Utilities
Google Supplier Payment Rs 97405,Vendor Payment
Adobe Office Maintenance Rs 90994,Office Expense
Flipkart Cab Booking Rs 60035,Travel
Microsoft Bonus Payment Rs 39488,Payroll
Infosys Taxi Fare Rs 57628,Travel
Ola TDS Deposit Rs 71241,TDS Payment
OpenAI TDS Deposit Rs 51883,TDS Payment
Uber Laptop Purchase Rs 3322,Office Expense
