Transaction_Text,Amount,Category,Ledger,Journal_Entry,Financial_Statement
Bank commission charged,191008,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales collection received,151275,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Revenue received from client,214739,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Vehicle insurance paid,242436,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Google advertisement expense,125167,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Laptop purchased,442572,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST deposited,496594,GST,GST Payable,GST Payable Dr | To Bank,Liability
Monthly payroll payment,344095,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Vehicle insurance paid,458643,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Internet bill paid,257006,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
CA fees paid,353390,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank charges deducted,340306,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Internet bill paid,479365,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Google advertisement expense,141087,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Consultancy fees paid,388181,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Staff salary paid,251380,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Laptop purchased,3578,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Payroll expense booked,20085,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Internet bill paid,329092,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Payroll expense booked,355869,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST challan payment,287843,GST,GST Payable,GST Payable Dr | To Bank,Liability
Revenue received from client,261314,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Bank commission charged,65117,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Audit fees paid,71494,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Loan principal paid,133222,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Vehicle purchased,92157,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Transaction charges deducted,163872,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Salary paid to employees,283271,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Travel reimbursement paid,263800,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Payroll expense booked,185133,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Business insurance paid,486344,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Loan EMI paid,410577,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Building rent payment,291662,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Monthly payroll payment,233797,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Audit fees paid,273746,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Water bill paid,426147,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
CA fees paid,15919,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Marketing campaign expense,478546,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office furniture purchased,23611,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank loan installment paid,3744,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,250994,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank commission charged,373622,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Building rent payment,99661,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Business travel expense,245408,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Revenue received from client,389843,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Computer equipment purchased,289512,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Advertising charges paid,169451,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST tax deposited,493876,GST,GST Payable,GST Payable Dr | To Bank,Liability
CA fees paid,14869,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office rent paid,326577,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Internet bill paid,317591,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Internet bill paid,262889,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Professional charges paid,101722,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Business travel expense,32312,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
GST payment made,130173,GST,GST Payable,GST Payable Dr | To Bank,Liability
Loan repayment made,220006,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Marketing campaign expense,306742,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Telephone bill paid,161472,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
CA fees paid,52313,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Bank loan installment paid,350203,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Employee salary transfer,442219,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Bank charges deducted,406436,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST payment made,292897,GST,GST Payable,GST Payable Dr | To Bank,Liability
Payroll expense booked,366004,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Transaction charges deducted,63135,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales income received,217164,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
CA fees paid,231518,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST liability paid,76703,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank charges deducted,107956,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Building rent payment,418501,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Legal fees paid,443358,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office furniture purchased,438360,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank commission charged,104598,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Printer purchased,86490,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer payment received,298810,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Audit fees paid,335507,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Sales collection received,424418,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Sales collection received,312781,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Electricity bill paid,256591,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Processing charges deducted,447254,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Marketing campaign expense,139916,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Professional charges paid,273899,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Travel reimbursement paid,293702,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Audit fees paid,490360,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Insurance renewal paid,315454,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Sales income received,51293,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Insurance premium paid,175768,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Utility expense paid,207618,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Advertising charges paid,188352,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Hotel expense paid,98231,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Professional charges paid,274517,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Internet bill paid,289403,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Monthly payroll payment,295992,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Advertising charges paid,267333,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Building rent payment,307676,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST challan payment,364265,GST,GST Payable,GST Payable Dr | To Bank,Liability
Printer purchased,107751,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Monthly payroll payment,140246,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST deposited,393677,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle purchased,57699,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Hotel expense paid,315590,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Office rent paid,144032,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Customer receipt recorded,207464,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Processing charges deducted,88939,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Health insurance premium,166810,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Hotel expense paid,171739,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Audit fees paid,443997,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Office furniture purchased,48360,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank commission charged,359058,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Bank commission charged,339932,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Taxi fare paid,20607,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Internet bill paid,180315,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank commission charged,93507,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Hotel expense paid,84878,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Processing charges deducted,459778,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Consultancy fees paid,37176,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Utility expense paid,402631,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Sales collection received,386544,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Travel reimbursement paid,306101,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Health insurance premium,185943,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Payroll expense booked,95205,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Rent expense booked,121022,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Employee salary transfer,458576,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Telephone bill paid,239070,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Promotional expense paid,286103,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Payroll expense booked,367325,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Customer receipt recorded,68030,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Office furniture purchased,147992,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST liability paid,243010,GST,GST Payable,GST Payable Dr | To Bank,Liability
Customer payment received,242033,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Printer purchased,242110,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan EMI paid,479959,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Flight ticket booked,242848,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Processing charges deducted,331374,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Term loan payment made,200453,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Loan principal paid,343359,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Monthly rent transferred,162067,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Revenue received from client,255703,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly payroll payment,110436,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Rent expense booked,102145,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Bank charges deducted,314902,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Travel reimbursement paid,486209,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Professional charges paid,390996,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Loan repayment made,160134,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Marketing campaign expense,56094,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,167564,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
GST tax deposited,10984,GST,GST Payable,GST Payable Dr | To Bank,Liability
Bank loan installment paid,453490,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Electricity bill paid,5700,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Legal fees paid,118101,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Loan repayment made,353012,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Laptop purchased,137913,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle purchased,46584,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Utility expense paid,322922,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Travel reimbursement paid,492124,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Sales collection received,292194,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Health insurance premium,295376,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Revenue received from client,112062,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Google advertisement expense,72582,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Staff salary paid,383062,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Internet bill paid,323064,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Loan principal paid,203556,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Term loan payment made,30675,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Facebook advertisement expense,168610,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Loan EMI paid,381314,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Processing charges deducted,143232,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Employee salary transfer,244310,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Laptop purchased,52332,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Business travel expense,233014,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Bank charges deducted,110375,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Business travel expense,370489,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Advertising charges paid,197627,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office rent paid,278824,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Rent expense booked,418534,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Warehouse rent paid,223523,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST payment made,348400,GST,GST Payable,GST Payable Dr | To Bank,Liability
Internet bill paid,44933,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Telephone bill paid,221845,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Business travel expense,104332,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Payroll expense booked,191522,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance premium paid,40126,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance premium paid,378049,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank charges deducted,229302,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Laptop purchased,451906,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Consultancy fees paid,458861,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Promotional expense paid,148936,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Telephone bill paid,221159,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Building rent payment,421272,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
GST deposited,110643,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,465455,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Travel reimbursement paid,496589,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Loan EMI paid,139423,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
CA fees paid,63948,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Electricity bill paid,12844,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank loan installment paid,496654,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Office rent paid,286140,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Employee salary transfer,322723,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Insurance renewal paid,469558,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer receipt recorded,492547,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Travel reimbursement paid,305798,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Revenue received from client,46053,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
CA fees paid,466160,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Internet bill paid,154039,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Advertising charges paid,245159,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Sales collection received,476911,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Marketing campaign expense,414038,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Salary paid to employees,187786,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Computer equipment purchased,271169,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Vehicle insurance paid,95133,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Office furniture purchased,296762,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Office furniture purchased,446936,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Transaction charges deducted,391402,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Salary paid to employees,469054,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Vehicle purchased,328884,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Utility expense paid,126060,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Legal fees paid,403652,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Term loan payment made,184710,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Health insurance premium,499308,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Promotional expense paid,286171,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Vehicle purchased,206952,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Revenue received from client,412412,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Taxi fare paid,486400,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Telephone bill paid,485701,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Health insurance premium,400232,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Computer equipment purchased,123543,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank loan installment paid,398213,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
CA fees paid,303478,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Term loan payment made,64943,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Monthly payroll payment,445198,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Customer payment received,157275,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Professional charges paid,371791,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Legal fees paid,173448,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Sales income received,33440,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Promotional expense paid,126419,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,106084,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Computer equipment purchased,93721,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Transaction charges deducted,412209,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
GST tax deposited,270244,GST,GST Payable,GST Payable Dr | To Bank,Liability
Telephone bill paid,64263,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Insurance premium paid,383351,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Utility expense paid,271492,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank service fee charged,329673,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Audit fees paid,470830,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Professional charges paid,393567,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
GST payment made,291960,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,313182,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
CA fees paid,478769,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Health insurance premium,431956,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Internet bill paid,350221,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
Bank commission charged,485769,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Term loan payment made,269523,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Business insurance paid,262361,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Insurance renewal paid,215818,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Flight ticket booked,419428,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Facebook advertisement expense,396396,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Taxi fare paid,33908,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
CA fees paid,402241,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Consultancy fees paid,31952,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Printer purchased,293939,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Loan repayment made,315659,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Professional charges paid,334624,Professional Fees,Professional Fees Expense,Professional Fees Expense Dr | To Bank,Expense
Flight ticket booked,139893,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Revenue received from client,430870,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Business insurance paid,28599,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Bank charges deducted,425939,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Sales income received,430453,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Office furniture purchased,351580,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Telephone bill paid,209475,Utilities,Utilities Expense,Utilities Expense Dr | To Bank,Expense
GST payment made,408653,GST,GST Payable,GST Payable Dr | To Bank,Liability
Revenue received from client,209614,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Marketing campaign expense,183532,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Marketing campaign expense,47855,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Bank commission charged,427537,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Printer purchased,183298,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Bank loan installment paid,490579,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST tax deposited,157899,GST,GST Payable,GST Payable Dr | To Bank,Liability
Taxi fare paid,331139,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Loan EMI paid,54133,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Rent expense booked,182723,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Vehicle insurance paid,263749,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
GST challan payment,166771,GST,GST Payable,GST Payable Dr | To Bank,Liability
Rent expense booked,205315,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Flight ticket booked,232372,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Loan EMI paid,382112,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
GST payment made,146940,GST,GST Payable,GST Payable Dr | To Bank,Liability
Vehicle insurance paid,448823,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Customer receipt recorded,421606,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Google advertisement expense,140456,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Term loan payment made,223261,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Processing charges deducted,126796,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Insurance renewal paid,285637,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Processing charges deducted,437250,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Loan principal paid,1417,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Promotional expense paid,282176,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Promotional expense paid,459647,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Google advertisement expense,378329,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
GST payment made,363798,GST,GST Payable,GST Payable Dr | To Bank,Liability
Sales income received,212251,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
Monthly payroll payment,83968,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Monthly payroll payment,34161,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
GST payment made,309363,GST,GST Payable,GST Payable Dr | To Bank,Liability
Salary paid to employees,39162,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Employee salary transfer,149672,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Salary paid to employees,115204,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Loan principal paid,443226,Loan,Loan Payable,Loan Payable Dr | To Bank,Liability
Payroll expense booked,382086,Payroll,Salary Expense,Salary Expense Dr | To Bank,Expense
Processing charges deducted,478726,Bank Charges,Bank Charges Expense,Bank Charges Expense Dr | To Bank,Expense
Promotional expense paid,458451,Marketing,Advertisement Expense,Advertisement Expense Dr | To Bank,Expense
Office rent paid,265213,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Insurance premium paid,91427,Insurance,Insurance Expense,Insurance Expense Dr | To Bank,Expense
Office rent paid,383155,Rent,Rent Expense,Rent Expense Dr | To Bank,Expense
Flight ticket booked,397739,Travel,Travel Expense,Travel Expense Dr | To Bank,Expense
Printer purchased,108547,Asset,Fixed Assets,Fixed Asset Dr | To Bank,Asset
Customer payment received,228983,Revenue,Sales Revenue,Bank Dr | To Sales Revenue,Income
