Transaction_Text,Ledger
GST liability payment Rs 93087,GST Payable
Telephone expense Rs 333884,Utilities Expense
Shop rent paid Rs 226915,Rent Expense
Google Workspace subscription Rs 568,Software Expense
Google Workspace subscription Rs 16802,Software Expense
Professional consultancy fees Rs 447962,Professional Fees
Electricity bill payment Rs 227375,Utilities Expense
Health insurance premium Rs 250261,Insurance Expense
Shop rent paid Rs 335361,Rent Expense
Monthly TDS payment Rs 439441,TDS Payable
Insurance expense Rs 304714,Insurance Expense
RTGS charges Rs 437575,Bank Charges
Purchase invoice received Rs 172287,Purchase Expense
GST deposited Rs 447761,GST Payable
Business travel expense Rs 488287,Travel Expense
Business insurance payment Rs 361498,Insurance Expense
Investment interest Rs 332117,Interest Income
GST deposited Rs 495967,GST Payable
Customer invoice generated Rs 69084,Sales Revenue
TDS challan Rs 48800,TDS Payable
Software license renewal Rs 442363,Software Expense
GST liability payment Rs 70997,GST Payable
Bank service charges Rs 23824,Bank Charges
Cloud hosting payment Rs 77057,Software Expense
Promotional expense Rs 324717,Marketing Expense
TDS deposited Rs 179345,TDS Payable
GST payment challan Rs 52266,GST Payable
Raw material purchase Rs 305946,Purchase Expense
Monthly staff salary Rs 261901,Salary Expense
Interest on loan Rs 74074,Loan Liability
Loan repayment Rs 455113,Loan Liability
TDS payment Rs 112847,TDS Payable
Train ticket Rs 290944,Travel Expense
GST tax paid Rs 386709,GST Payable
Office supplies purchase Rs 397006,Purchase Expense
Business travel expense Rs 74665,Travel Expense
Electricity bill payment Rs 481186,Utilities Expense
Google Ads payment Rs 168877,Marketing Expense
Purchase invoice received Rs 370603,Purchase Expense
Loan EMI payment Rs 230632,Loan Liability
Service income received Rs 159514,Sales Revenue
Advertisement charges Rs 9885,Marketing Expense
RTGS charges Rs 69169,Bank Charges
GST tax paid Rs 75416,GST Payable
Microsoft 365 subscription Rs 188329,Software Expense
GST deposited Rs 214624,GST Payable
Monthly TDS payment Rs 64914,TDS Payable
Google Workspace subscription Rs 244333,Software Expense
Business insurance payment Rs 52506,Insurance Expense
Flight ticket Rs 277731,Travel Expense
Raw material purchase Rs 25270,Purchase Expense
Interest credited Rs 419429,Interest Income
Water bill payment Rs 405284,Utilities Expense
Audit fees Rs 352689,Professional Fees
AWS hosting charges Rs 67562,Software Expense
Business insurance payment Rs 202918,Insurance Expense
GST tax paid Rs 495627,GST Payable
Investment interest Rs 287663,Interest Income
Purchase invoice received Rs 164781,Purchase Expense
Water bill payment Rs 326564,Utilities Expense
Telephone expense Rs 329870,Utilities Expense
Bank service charges Rs 301589,Bank Charges
Business travel expense Rs 349292,Travel Expense
Health insurance premium Rs 472473,Insurance Expense
Purchase invoice received Rs 247720,Purchase Expense
Monthly office rent Rs 468094,Rent Expense
TDS challan Rs 960,TDS Payable
Service income received Rs 378399,Sales Revenue
Savings account interest Rs 8326,Interest Income
FD interest received Rs 99770,Interest Income
Security guard salary Rs 101469,Salary Expense
Revenue from client Rs 191502,Sales Revenue
Security guard salary Rs 324109,Salary Expense
Loan EMI payment Rs 81107,Loan Liability
Processing fee charged by bank Rs 201849,Bank Charges
Microsoft 365 subscription Rs 2941,Software Expense
Utility charges Rs 76822,Utilities Expense
Product sale Rs 181941,Sales Revenue
Warehouse rent Rs 257105,Rent Expense
Electricity bill payment Rs 98552,Utilities Expense
Advertisement charges Rs 431685,Marketing Expense
Telephone expense Rs 440481,Utilities Expense
Office rent payment Rs 403195,Rent Expense
Insurance expense Rs 447515,Insurance Expense
Raw material purchase Rs 153924,Purchase Expense
Shop rent paid Rs 391687,Rent Expense
GST monthly payment Rs 331628,GST Payable
GST payment challan Rs 60404,GST Payable
TDS deposited Rs 123554,TDS Payable
Software license renewal Rs 105654,Software Expense
GST liability payment Rs 186870,GST Payable
Legal advisor fees Rs 321679,Professional Fees
Telephone expense Rs 328958,Utilities Expense
Monthly office rent Rs 90769,Rent Expense
Customer invoice generated Rs 109267,Sales Revenue
TDS payment Rs 46018,TDS Payable
Shop rent paid Rs 265755,Rent Expense
Utility charges Rs 81895,Utilities Expense
Investment interest Rs 247059,Interest Income
Interest on loan Rs 193670,Loan Liability
GST tax paid Rs 285794,GST Payable
Electricity bill payment Rs 438564,Utilities Expense
Google Workspace subscription Rs 7127,Software Expense
Revenue from client Rs 119932,Sales Revenue
Internet bill Rs 50879,Utilities Expense
Google Workspace subscription Rs 170495,Software Expense
TDS challan Rs 132457,TDS Payable
Facebook advertisement Rs 95527,Marketing Expense
Legal advisor fees Rs 392000,Professional Fees
Health insurance premium Rs 318902,Insurance Expense
Internet bill Rs 128608,Utilities Expense
Office supplies purchase Rs 155900,Purchase Expense
GST tax paid Rs 103823,GST Payable
RTGS charges Rs 389191,Bank Charges
Bank interest income Rs 386021,Interest Income
TDS deposited Rs 368852,TDS Payable
Building lease payment Rs 169512,Rent Expense
Warehouse rent Rs 469329,Rent Expense
GST payment challan Rs 77246,GST Payable
GST payment challan Rs 236061,GST Payable
Office rent payment Rs 70858,Rent Expense
Audit fees Rs 218073,Professional Fees
Shop rent paid Rs 194776,Rent Expense
Building lease payment Rs 258149,Rent Expense
TDS challan Rs 214739,TDS Payable
Office rent payment Rs 96142,Rent Expense
Tax filing charges Rs 5470,Professional Fees
Software license renewal Rs 474635,Software Expense
TDS deposited Rs 170130,TDS Payable
Goods purchased Rs 195456,Purchase Expense
Telephone expense Rs 146758,Utilities Expense
Building lease payment Rs 51924,Rent Expense
Processing fee charged by bank Rs 327789,Bank Charges
Google Ads payment Rs 199359,Marketing Expense
GST payment challan Rs 155216,GST Payable
GST liability payment Rs 473387,GST Payable
Promotional expense Rs 86120,Marketing Expense
Security guard salary Rs 226267,Salary Expense
Processing fee charged by bank Rs 376203,Bank Charges
Insurance renewal Rs 237015,Insurance Expense
Water bill payment Rs 496576,Utilities Expense
GST payment challan Rs 319996,GST Payable
Revenue from client Rs 479920,Sales Revenue
Insurance renewal Rs 139129,Insurance Expense
Promotional expense Rs 101157,Marketing Expense
TDS payment Rs 135544,TDS Payable
Service income received Rs 429482,Sales Revenue
Legal advisor fees Rs 164701,Professional Fees
Monthly staff salary Rs 494423,Salary Expense
Software license renewal Rs 110801,Software Expense
Office rent payment Rs 469655,Rent Expense
Facebook advertisement Rs 33474,Marketing Expense
Uber ride Rs 102714,Travel Expense
Microsoft 365 subscription Rs 368342,Software Expense
Processing fee charged by bank Rs 8036,Bank Charges
Tax filing charges Rs 200970,Professional Fees
Loan repayment Rs 106230,Loan Liability
Loan repayment Rs 317721,Loan Liability
Cheque book charges Rs 493969,Bank Charges
Revenue from client Rs 335675,Sales Revenue
Office rent payment Rs 347404,Rent Expense
Vehicle insurance premium Rs 95193,Insurance Expense
Savings account interest Rs 212599,Interest Income
Insurance expense Rs 384390,Insurance Expense
Insurance expense Rs 338038,Insurance Expense
Microsoft 365 subscription Rs 464587,Software Expense
Service income received Rs 468423,Sales Revenue
Business insurance payment Rs 180411,Insurance Expense
Loan EMI payment Rs 198675,Loan Liability
Sales receipt Rs 125312,Sales Revenue
Cheque book charges Rs 472888,Bank Charges
Goods purchased Rs 309789,Purchase Expense
Marketing campaign expense Rs 327908,Marketing Expense
Train ticket Rs 2086,Travel Expense
Vehicle insurance premium Rs 90613,Insurance Expense
TDS government payment Rs 316759,TDS Payable
Loan EMI payment Rs 230247,Loan Liability
Purchase invoice received Rs 84219,Purchase Expense
GST liability payment Rs 174103,GST Payable
GST tax paid Rs 209033,GST Payable
Salary paid to employee Rs 279815,Salary Expense
Office supplies purchase Rs 377843,Purchase Expense
Building lease payment Rs 23836,Rent Expense
FD interest received Rs 235263,Interest Income
Monthly staff salary Rs 225064,Salary Expense
Service income received Rs 232592,Sales Revenue
Revenue from client Rs 261786,Sales Revenue
Goods purchased Rs 72363,Purchase Expense
Employee bonus payment Rs 41449,Salary Expense
Inventory purchase Rs 165725,Purchase Expense
NEFT charges Rs 66902,Bank Charges
AWS hosting charges Rs 484321,Software Expense
GST deposited Rs 206154,GST Payable
Facebook advertisement Rs 265943,Marketing Expense
Loan repayment Rs 370281,Loan Liability
TDS challan Rs 385358,TDS Payable
Revenue from client Rs 20667,Sales Revenue
Interest credited Rs 129476,Interest Income
Bank loan installment Rs 419445,Loan Liability
Google Ads payment Rs 379855,Marketing Expense
TDS payment Rs 434207,TDS Payable
Monthly TDS payment Rs 236386,TDS Payable
CA consultation fees Rs 175320,Professional Fees
Payroll payment Rs 83223,Salary Expense
Bank service charges Rs 360805,Bank Charges
Vehicle insurance premium Rs 349880,Insurance Expense
FD interest received Rs 148247,Interest Income
Interest on loan Rs 201000,Loan Liability
Cheque book charges Rs 315044,Bank Charges
Advertisement charges Rs 474655,Marketing Expense
Processing fee charged by bank Rs 376821,Bank Charges
Software license renewal Rs 246457,Software Expense
TDS government payment Rs 238865,TDS Payable
Service income received Rs 278430,Sales Revenue
Inventory purchase Rs 29306,Purchase Expense
Software license renewal Rs 379034,Software Expense
Service income received Rs 494596,Sales Revenue
Health insurance premium Rs 494461,Insurance Expense
TDS challan Rs 448973,TDS Payable
Advertisement charges Rs 61293,Marketing Expense
Product sale Rs 119525,Sales Revenue
Internet bill Rs 498673,Utilities Expense
Business travel expense Rs 387352,Travel Expense
Internet bill Rs 101732,Utilities Expense
Revenue from client Rs 171288,Sales Revenue
Service income received Rs 172245,Sales Revenue
Business insurance payment Rs 153054,Insurance Expense
Insurance expense Rs 127110,Insurance Expense
Marketing campaign expense Rs 305070,Marketing Expense
Utility charges Rs 397385,Utilities Expense
Warehouse rent Rs 381880,Rent Expense
CA consultation fees Rs 462972,Professional Fees
GST liability payment Rs 172608,GST Payable
Google Ads payment Rs 47761,Marketing Expense
Raw material purchase Rs 425458,Purchase Expense
Interest on loan Rs 373692,Loan Liability
Uber ride Rs 485675,Travel Expense
Vehicle insurance premium Rs 201231,Insurance Expense
Flight ticket Rs 107437,Travel Expense
Facebook advertisement Rs 471796,Marketing Expense
Security guard salary Rs 76281,Salary Expense
Microsoft 365 subscription Rs 29274,Software Expense
Service income received Rs 57045,Sales Revenue
Uber ride Rs 395362,Travel Expense
Monthly office rent Rs 165668,Rent Expense
Tax filing charges Rs 442293,Professional Fees
GST deposited Rs 377057,GST Payable
Audit fees Rs 310178,Professional Fees
Product sale Rs 489429,Sales Revenue
Advertisement charges Rs 291339,Marketing Expense
Insurance expense Rs 360860,Insurance Expense
Processing fee charged by bank Rs 225454,Bank Charges
NEFT charges Rs 231539,Bank Charges
FD interest received Rs 133105,Interest Income
Audit fees Rs 406600,Professional Fees
Revenue from client Rs 121713,Sales Revenue
TDS deposited Rs 324907,TDS Payable
Business travel expense Rs 347759,Travel Expense
Bank interest income Rs 476878,Interest Income
TDS deposited Rs 450450,TDS Payable
Insurance expense Rs 466992,Insurance Expense
Customer invoice generated Rs 309428,Sales Revenue
Audit fees Rs 316742,Professional Fees
Interest credited Rs 427645,Interest Income
Sales receipt Rs 445848,Sales Revenue
Office rent payment Rs 440211,Rent Expense
CA consultation fees Rs 7363,Professional Fees
Microsoft 365 subscription Rs 404675,Software Expense
Building lease payment Rs 37967,Rent Expense
Raw material purchase Rs 104078,Purchase Expense
Facebook advertisement Rs 109690,Marketing Expense
Purchase invoice received Rs 124352,Purchase Expense
GST deposited Rs 274729,GST Payable
Tax filing charges Rs 30444,Professional Fees
Processing fee charged by bank Rs 451877,Bank Charges
Office supplies purchase Rs 201698,Purchase Expense
Telephone expense Rs 498291,Utilities Expense
Promotional expense Rs 202772,Marketing Expense
Investment interest Rs 270162,Interest Income
Advertisement charges Rs 128780,Marketing Expense
Office supplies purchase Rs 167390,Purchase Expense
TDS deposited Rs 182545,TDS Payable
Software license renewal Rs 296765,Software Expense
Product sale Rs 346121,Sales Revenue
Salary paid to employee Rs 341705,Salary Expense
Investment interest Rs 197858,Interest Income
Hotel accommodation Rs 19096,Travel Expense
Interest credited Rs 204369,Interest Income
FD interest received Rs 131763,Interest Income
Revenue from client Rs 135808,Sales Revenue
Monthly TDS payment Rs 205752,TDS Payable
TDS government payment Rs 284039,TDS Payable
CA consultation fees Rs 224553,Professional Fees
Office supplies purchase Rs 444703,Purchase Expense
Business loan payment Rs 150785,Loan Liability
Insurance renewal Rs 104978,Insurance Expense
Sales receipt Rs 155458,Sales Revenue
Purchase invoice received Rs 172972,Purchase Expense
NEFT charges Rs 201823,Bank Charges
Business loan payment Rs 179665,Loan Liability
Building lease payment Rs 493809,Rent Expense
GST monthly payment Rs 22635,GST Payable
Google Workspace subscription Rs 408908,Software Expense
Internet bill Rs 323355,Utilities Expense
Business travel expense Rs 35218,Travel Expense
Shop rent paid Rs 87152,Rent Expense
Flight ticket Rs 368428,Travel Expense
RTGS charges Rs 290226,Bank Charges
RTGS charges Rs 21634,Bank Charges
Health insurance premium Rs 246923,Insurance Expense
Office rent payment Rs 190604,Rent Expense
Insurance expense Rs 134086,Insurance Expense
GST payment challan Rs 485823,GST Payable
Tax filing charges Rs 359516,Professional Fees
Facebook advertisement Rs 486122,Marketing Expense
Uber ride Rs 380292,Travel Expense
Vehicle insurance premium Rs 414004,Insurance Expense
Monthly staff salary Rs 384647,Salary Expense
Tax filing charges Rs 276498,Professional Fees
Marketing campaign expense Rs 51569,Marketing Expense
Office supplies purchase Rs 262864,Purchase Expense
Cheque book charges Rs 434367,Bank Charges
Google Ads payment Rs 97336,Marketing Expense
Electricity bill payment Rs 344083,Utilities Expense
Hotel accommodation Rs 41102,Travel Expense
Cheque book charges Rs 110209,Bank Charges
Loan repayment Rs 248918,Loan Liability
Health insurance premium Rs 417792,Insurance Expense
TDS government payment Rs 358207,TDS Payable
Investment interest Rs 432989,Interest Income
Advertisement charges Rs 358690,Marketing Expense
TDS government payment Rs 374545,TDS Payable
Professional consultancy fees Rs 303886,Professional Fees
Train ticket Rs 367596,Travel Expense
Business loan payment Rs 383543,Loan Liability
AWS hosting charges Rs 419920,Software Expense
Raw material purchase Rs 379245,Purchase Expense
Cloud hosting payment Rs 460054,Software Expense
Bank loan installment Rs 438780,Loan Liability
Salary paid to employee Rs 22922,Salary Expense
Loan EMI payment Rs 480720,Loan Liability
Professional consultancy fees Rs 300114,Professional Fees
Product sale Rs 187368,Sales Revenue
Legal advisor fees Rs 350899,Professional Fees
Bank service charges Rs 336153,Bank Charges
TDS government payment Rs 353447,TDS Payable
Bank interest income Rs 203228,Interest Income
Savings account interest Rs 396820,Interest Income
Flight ticket Rs 88980,Travel Expense
Bank service charges Rs 167190,Bank Charges
Salary paid to employee Rs 84764,Salary Expense
Promotional expense Rs 370808,Marketing Expense
Product sale Rs 387569,Sales Revenue
Purchase invoice received Rs 164239,Purchase Expense
Monthly TDS payment Rs 148266,TDS Payable
Electricity bill payment Rs 310359,Utilities Expense
Office supplies purchase Rs 52523,Purchase Expense
Advertisement charges Rs 251663,Marketing Expense
Payroll payment Rs 220708,Salary Expense
Shop rent paid Rs 58886,Rent Expense
GST liability payment Rs 154869,GST Payable
Internet bill Rs 260292,Utilities Expense
Payroll payment Rs 202980,Salary Expense
TDS payment Rs 441853,TDS Payable
Vehicle insurance premium Rs 331961,Insurance Expense
Insurance renewal Rs 363587,Insurance Expense
Monthly TDS payment Rs 118338,TDS Payable
Processing fee charged by bank Rs 222848,Bank Charges
Warehouse rent Rs 122975,Rent Expense
Office rent payment Rs 239394,Rent Expense
Processing fee charged by bank Rs 288755,Bank Charges
Bank service charges Rs 421297,Bank Charges
Customer invoice generated Rs 248547,Sales Revenue
Train ticket Rs 399169,Travel Expense
Revenue from client Rs 213535,Sales Revenue
Google Ads payment Rs 328842,Marketing Expense
Business loan payment Rs 48612,Loan Liability
Utility charges Rs 356021,Utilities Expense
Utility charges Rs 260456,Utilities Expense
Business loan payment Rs 55098,Loan Liability
Revenue from client Rs 99541,Sales Revenue
GST payment challan Rs 205114,GST Payable
Interest on loan Rs 127004,Loan Liability
Sales receipt Rs 393157,Sales Revenue
Payroll payment Rs 345900,Salary Expense
Microsoft 365 subscription Rs 84954,Software Expense
GST deposited Rs 227875,GST Payable
Interest on loan Rs 74768,Loan Liability
Monthly staff salary Rs 144037,Salary Expense
Interest on loan Rs 488905,Loan Liability
Business travel expense Rs 244315,Travel Expense
Purchase invoice received Rs 127778,Purchase Expense
Wages paid to workers Rs 189383,Salary Expense
TDS deposited Rs 38411,TDS Payable
Business loan payment Rs 494869,Loan Liability
Business loan payment Rs 216339,Loan Liability
TDS deposited Rs 361690,TDS Payable
Bank service charges Rs 356463,Bank Charges
Business insurance payment Rs 43625,Insurance Expense
Promotional expense Rs 318266,Marketing Expense
Insurance expense Rs 356756,Insurance Expense
Shop rent paid Rs 133098,Rent Expense
Water bill payment Rs 463592,Utilities Expense
Customer invoice generated Rs 480498,Sales Revenue
Professional consultancy fees Rs 442839,Professional Fees
Employee bonus payment Rs 282555,Salary Expense
Tax filing charges Rs 42165,Professional Fees
TDS payment Rs 251403,TDS Payable
Savings account interest Rs 78425,Interest Income
Building lease payment Rs 92225,Rent Expense
FD interest received Rs 350663,Interest Income
Internet bill Rs 136359,Utilities Expense
Processing fee charged by bank Rs 287211,Bank Charges
Savings account interest Rs 158368,Interest Income
Internet bill Rs 240778,Utilities Expense
Security guard salary Rs 386171,Salary Expense
Savings account interest Rs 307614,Interest Income
Health insurance premium Rs 342249,Insurance Expense
TDS government payment Rs 364542,TDS Payable
Google Ads payment Rs 448714,Marketing Expense
Monthly office rent Rs 49350,Rent Expense
FD interest received Rs 208743,Interest Income
Inventory purchase Rs 287714,Purchase Expense
Uber ride Rs 431290,Travel Expense
Interest credited Rs 263428,Interest Income
Insurance expense Rs 82102,Insurance Expense
Investment interest Rs 118149,Interest Income
AWS hosting charges Rs 451579,Software Expense
Insurance expense Rs 451218,Insurance Expense
Cloud hosting payment Rs 448134,Software Expense
Vehicle insurance premium Rs 13991,Insurance Expense
Flight ticket Rs 263252,Travel Expense
Promotional expense Rs 391798,Marketing Expense
TDS payment Rs 378832,TDS Payable
Promotional expense Rs 486997,Marketing Expense
Telephone expense Rs 138636,Utilities Expense
Health insurance premium Rs 402151,Insurance Expense
Microsoft 365 subscription Rs 158259,Software Expense
Telephone expense Rs 385266,Utilities Expense
Goods purchased Rs 260417,Purchase Expense
Purchase invoice received Rs 182713,Purchase Expense
Warehouse rent Rs 319343,Rent Expense
Service income received Rs 356896,Sales Revenue
TDS payment Rs 477076,TDS Payable
Flight ticket Rs 101807,Travel Expense
Water bill payment Rs 312499,Utilities Expense
Cloud hosting payment Rs 487246,Software Expense
TDS payment Rs 472096,TDS Payable
CA consultation fees Rs 137156,Professional Fees
Flight ticket Rs 53417,Travel Expense
Water bill payment Rs 266423,Utilities Expense
RTGS charges Rs 259049,Bank Charges
Interest on loan Rs 232167,Loan Liability
GST deposited Rs 321071,GST Payable
Monthly TDS payment Rs 84207,TDS Payable
Product sale Rs 162751,Sales Revenue
GST payment challan Rs 182868,GST Payable
GST tax paid Rs 193834,GST Payable
Service income received Rs 432441,Sales Revenue
Investment interest Rs 431972,Interest Income
TDS government payment Rs 228989,TDS Payable
AWS hosting charges Rs 350285,Software Expense
Insurance renewal Rs 351779,Insurance Expense
Security guard salary Rs 270547,Salary Expense
GST tax paid Rs 495572,GST Payable
Monthly TDS payment Rs 339279,TDS Payable
Telephone expense Rs 418548,Utilities Expense
Uber ride Rs 64603,Travel Expense
Professional consultancy fees Rs 249514,Professional Fees
Hotel accommodation Rs 185256,Travel Expense
Sales receipt Rs 440228,Sales Revenue
TDS government payment Rs 436171,TDS Payable
Health insurance premium Rs 279705,Insurance Expense
Payroll payment Rs 61989,Salary Expense
Insurance renewal Rs 86570,Insurance Expense
Insurance renewal Rs 15035,Insurance Expense
Raw material purchase Rs 317172,Purchase Expense
Marketing campaign expense Rs 154920,Marketing Expense
Bank interest income Rs 18344,Interest Income
Product sale Rs 154051,Sales Revenue
Business travel expense Rs 416484,Travel Expense
Audit fees Rs 397234,Professional Fees
Product sale Rs 198440,Sales Revenue
GST deposited Rs 286801,GST Payable
Payroll payment Rs 233173,Salary Expense
Bank interest income Rs 428877,Interest Income
Investment interest Rs 305517,Interest Income
GST tax paid Rs 9029,GST Payable
Audit fees Rs 372954,Professional Fees
Bank interest income Rs 94393,Interest Income
Payroll payment Rs 161595,Salary Expense
GST monthly payment Rs 184966,GST Payable
Electricity bill payment Rs 317207,Utilities Expense
FD interest received Rs 345940,Interest Income
Employee bonus payment Rs 354412,Salary Expense
Business insurance payment Rs 320960,Insurance Expense
Shop rent paid Rs 109554,Rent Expense
AWS hosting charges Rs 463093,Software Expense
Loan repayment Rs 255573,Loan Liability
Raw material purchase Rs 18350,Purchase Expense
Loan EMI payment Rs 10661,Loan Liability
GST payment challan Rs 130464,GST Payable
NEFT charges Rs 126444,Bank Charges
NEFT charges Rs 87908,Bank Charges
Monthly office rent Rs 42536,Rent Expense
Building lease payment Rs 462735,Rent Expense
TDS deposited Rs 423459,TDS Payable
Savings account interest Rs 364070,Interest Income
Uber ride Rs 254190,Travel Expense
Sales receipt Rs 425489,Sales Revenue
Processing fee charged by bank Rs 11582,Bank Charges
Shop rent paid Rs 15939,Rent Expense
Telephone expense Rs 288996,Utilities Expense
Monthly TDS payment Rs 369497,TDS Payable
Bank service charges Rs 489413,Bank Charges
Office supplies purchase Rs 208838,Purchase Expense
Processing fee charged by bank Rs 335297,Bank Charges
Electricity bill payment Rs 39624,Utilities Expense
RTGS charges Rs 204548,Bank Charges
Google Ads payment Rs 137672,Marketing Expense
Goods purchased Rs 40116,Purchase Expense
Facebook advertisement Rs 449493,Marketing Expense
GST deposited Rs 279704,GST Payable
AWS hosting charges Rs 288964,Software Expense
Monthly TDS payment Rs 148113,TDS Payable
Raw material purchase Rs 464036,Purchase Expense
Audit fees Rs 154166,Professional Fees
Flight ticket Rs 180693,Travel Expense
Wages paid to workers Rs 499246,Salary Expense
Microsoft 365 subscription Rs 208331,Software Expense
Loan repayment Rs 393843,Loan Liability
Water bill payment Rs 433943,Utilities Expense
GST tax paid Rs 295247,GST Payable
Audit fees Rs 446332,Professional Fees
Monthly office rent Rs 330388,Rent Expense
Utility charges Rs 445996,Utilities Expense
Employee bonus payment Rs 219759,Salary Expense
Business travel expense Rs 145137,Travel Expense
AWS hosting charges Rs 250709,Software Expense
Wages paid to workers Rs 380601,Salary Expense
Cloud hosting payment Rs 162295,Software Expense
Bank loan installment Rs 379144,Loan Liability
Business travel expense Rs 379807,Travel Expense
Uber ride Rs 292595,Travel Expense
Loan EMI payment Rs 66896,Loan Liability
CA consultation fees Rs 438631,Professional Fees
Bank interest income Rs 354442,Interest Income
Office rent payment Rs 235460,Rent Expense
Vehicle insurance premium Rs 395138,Insurance Expense
TDS government payment Rs 471382,TDS Payable
Flight ticket Rs 144365,Travel Expense
Facebook advertisement Rs 85460,Marketing Expense
Raw material purchase Rs 78039,Purchase Expense
Internet bill Rs 170317,Utilities Expense
Electricity bill payment Rs 52512,Utilities Expense
Interest credited Rs 414151,Interest Income
Google Workspace subscription Rs 487534,Software Expense
Customer invoice generated Rs 299831,Sales Revenue
TDS government payment Rs 83603,TDS Payable
GST liability payment Rs 116964,GST Payable
Bank interest income Rs 288243,Interest Income
Internet bill Rs 222321,Utilities Expense
Uber ride Rs 492700,Travel Expense
Business loan payment Rs 372072,Loan Liability
Monthly staff salary Rs 285524,Salary Expense
GST payment challan Rs 73077,GST Payable
Warehouse rent Rs 269989,Rent Expense
Shop rent paid Rs 254706,Rent Expense
Train ticket Rs 188730,Travel Expense
Insurance expense Rs 192575,Insurance Expense
TDS payment Rs 144497,TDS Payable
Warehouse rent Rs 36886,Rent Expense
GST payment challan Rs 205026,GST Payable
Monthly staff salary Rs 138802,Salary Expense
Internet bill Rs 497738,Utilities Expense
Uber ride Rs 166175,Travel Expense
Software license renewal Rs 204661,Software Expense
Investment interest Rs 240509,Interest Income
Bank service charges Rs 162931,Bank Charges
Payroll payment Rs 234224,Salary Expense
Salary paid to employee Rs 271998,Salary Expense
RTGS charges Rs 438800,Bank Charges
Shop rent paid Rs 18098,Rent Expense
Tax filing charges Rs 317133,Professional Fees
Google Workspace subscription Rs 342391,Software Expense
Uber ride Rs 167136,Travel Expense
Water bill payment Rs 253491,Utilities Expense
Loan repayment Rs 188688,Loan Liability
Goods purchased Rs 74984,Purchase Expense
Professional consultancy fees Rs 59165,Professional Fees
GST liability payment Rs 347004,GST Payable
Monthly office rent Rs 493978,Rent Expense
RTGS charges Rs 405364,Bank Charges
TDS payment Rs 449501,TDS Payable
NEFT charges Rs 52092,Bank Charges
Insurance renewal Rs 105948,Insurance Expense
Insurance expense Rs 164648,Insurance Expense
Tax filing charges Rs 275076,Professional Fees
Salary paid to employee Rs 41940,Salary Expense
FD interest received Rs 360292,Interest Income
Bank service charges Rs 56358,Bank Charges
Salary paid to employee Rs 463667,Salary Expense
Loan repayment Rs 40084,Loan Liability
Business insurance payment Rs 326649,Insurance Expense
Processing fee charged by bank Rs 170758,Bank Charges
Monthly office rent Rs 82554,Rent Expense
Service income received Rs 21319,Sales Revenue
Bank service charges Rs 357217,Bank Charges
Shop rent paid Rs 334051,Rent Expense
GST payment challan Rs 21423,GST Payable
FD interest received Rs 448595,Interest Income
Customer invoice generated Rs 161087,Sales Revenue
Train ticket Rs 41883,Travel Expense
Insurance renewal Rs 170525,Insurance Expense
GST tax paid Rs 367046,GST Payable
Insurance renewal Rs 244551,Insurance Expense
FD interest received Rs 278660,Interest Income
Office rent payment Rs 423867,Rent Expense
Professional consultancy fees Rs 188544,Professional Fees
Business insurance payment Rs 135691,Insurance Expense
Internet bill Rs 204514,Utilities Expense
Audit fees Rs 227520,Professional Fees
Uber ride Rs 114314,Travel Expense
Telephone expense Rs 205412,Utilities Expense
NEFT charges Rs 399240,Bank Charges
Microsoft 365 subscription Rs 410037,Software Expense
Tax filing charges Rs 273466,Professional Fees
Bank interest income Rs 492845,Interest Income
Business travel expense Rs 87541,Travel Expense
Building lease payment Rs 269082,Rent Expense
Savings account interest Rs 117167,Interest Income
Service income received Rs 35649,Sales Revenue
Loan EMI payment Rs 311832,Loan Liability
Savings account interest Rs 431542,Interest Income
Salary paid to employee Rs 293058,Salary Expense
Employee bonus payment Rs 196549,Salary Expense
Inventory purchase Rs 208532,Purchase Expense
Salary paid to employee Rs 99345,Salary Expense
Processing fee charged by bank Rs 81412,Bank Charges
GST deposited Rs 293625,GST Payable
Bank interest income Rs 107991,Interest Income
Monthly staff salary Rs 336895,Salary Expense
Purchase invoice received Rs 200191,Purchase Expense
Insurance renewal Rs 142558,Insurance Expense
Loan repayment Rs 372551,Loan Liability
Savings account interest Rs 224109,Interest Income
Office supplies purchase Rs 224442,Purchase Expense
Cheque book charges Rs 121796,Bank Charges
Advertisement charges Rs 286550,Marketing Expense
Microsoft 365 subscription Rs 337603,Software Expense
Health insurance premium Rs 102552,Insurance Expense
Insurance renewal Rs 475372,Insurance Expense
Cloud hosting payment Rs 82508,Software Expense
Internet bill Rs 182749,Utilities Expense
Marketing campaign expense Rs 450372,Marketing Expense
Savings account interest Rs 227015,Interest Income
TDS government payment Rs 449282,TDS Payable
TDS payment Rs 328150,TDS Payable
Loan EMI payment Rs 28709,Loan Liability
Insurance expense Rs 55169,Insurance Expense
Inventory purchase Rs 347230,Purchase Expense
CA consultation fees Rs 69602,Professional Fees
Telephone expense Rs 471013,Utilities Expense
Goods purchased Rs 18411,Purchase Expense
Employee bonus payment Rs 437581,Salary Expense
Security guard salary Rs 449164,Salary Expense
Business insurance payment Rs 485935,Insurance Expense
Cheque book charges Rs 347957,Bank Charges
Tax filing charges Rs 178786,Professional Fees
Payroll payment Rs 419772,Salary Expense
Legal advisor fees Rs 122723,Professional Fees
Utility charges Rs 89602,Utilities Expense
Professional consultancy fees Rs 344465,Professional Fees
